season,match_round,player_name,player_team,cc_votes
2017,1,Shaun McKernan,Essendon,0
2017,1,Travis Colyer,Essendon,0
2017,1,Josh Green,Essendon,0
2017,1,Joe Daniher,Essendon,0
2017,1,Patrick Ambrose,Essendon,0
2017,1,Martin Gleeson,Essendon,0
2017,1,Kyle Langford,Essendon,0
2017,1,Anthony McDonald-Tipungwuti,Essendon,0
2017,1,Darcy Parish,Essendon,0
2017,1,Michael Hartley,Essendon,0
2017,1,Andrew McGrath,Essendon,0
2017,1,Stephen Hill,Fremantle,1
2017,1,Aaron Sandilands,Fremantle,0
2017,1,Michael Johnson,Fremantle,0
2017,1,David Mundy,Fremantle,0
2017,1,Danyle Pearce,Fremantle,0
2017,1,Zac Dawson,Fremantle,0
2017,1,Jonathon Griffin,Fremantle,0
2017,1,Garrick Ibbotson,Fremantle,0
2017,1,Nick Suban,Fremantle,0
2017,1,Michael Walters,Fremantle,0
2017,1,Nat Fyfe,Fremantle,0
2017,1,Lachie Neale,Fremantle,0
2017,1,Bradley Hill,Fremantle,0
2017,1,Lee Spurr,Fremantle,0
2017,1,Cam Sutcliffe,Fremantle,0
2017,1,Shane Kersten,Fremantle,0
2017,1,Cam McCarthy,Fremantle,0
2017,1,Joel Hamling,Fremantle,0
2017,1,Lachie Weller,Fremantle,0
2017,1,Ed Langdon,Fremantle,0
2017,1,Connor Blakely,Fremantle,0
2017,1,Darcy Tucker,Fremantle,0
2017,1,Andrew Mackie,Geelong,9
2017,1,Mitch Duncan,Geelong,5
2017,1,Joel Selwood,Geelong,5
2017,1,Patrick Dangerfield,Geelong,4
2017,1,Steven Motlop,Geelong,3
2017,1,Nakia Cockatoo,Geelong,2
2017,1,Zach Tuohy,Geelong,1
2017,1,Tom Lonergan,Geelong,0
2017,1,Tom Hawkins,Geelong,0
2017,1,Lachie Henderson,Geelong,0
2017,1,Harry Taylor,Geelong,0
2017,1,Rhys Stanley,Geelong,0
2017,1,Daniel Menzel,Geelong,0
2017,1,Josh Cowan,Geelong,0
2017,1,George Horlin-Smith,Geelong,0
2017,1,Lincoln McCarthy,Geelong,0
2017,1,Jordan Murdoch,Geelong,0
2017,1,Mark Blicavs,Geelong,0
2017,1,Jackson Thurlow,Geelong,0
2017,1,Tom Ruggles,Geelong,0
2017,1,Brandan Parfitt,Geelong,0
2017,1,Tom Stewart,Geelong,0
2017,1,Gary Ablett,Gold Coast,6
2017,1,Touk Miller,Gold Coast,5
2017,1,Matt Rosa,Gold Coast,0
2017,1,Pearce Hanley,Gold Coast,0
2017,1,Michael Barlow,Gold Coast,0
2017,1,Steven May,Gold Coast,0
2017,1,Tom J. Lynch,Gold Coast,0
2017,1,Rory Thompson,Gold Coast,0
2017,1,Aaron Hall,Gold Coast,0
2017,1,Jarryd Lyons,Gold Coast,0
2017,1,Alex Sexton,Gold Coast,0
2017,1,Jarrod Witts,Gold Coast,0
2017,1,Sean Lemmens,Gold Coast,0
2017,1,Jack Martin,Gold Coast,0
2017,1,Kade Kolodjashnij,Gold Coast,0
2017,1,Adam Saad,Gold Coast,0
2017,1,Peter Wright,Gold Coast,0
2017,1,Callum Ah Chee,Gold Coast,0
2017,1,Jesse Joyce,Gold Coast,0
2017,1,Josh Schoenfeld,Gold Coast,0
2017,1,Ben Ainsworth,Gold Coast,0
2017,1,Jack Bowes,Gold Coast,0
2017,1,Steve Johnson,Greater Western Sydney,0
2017,1,Ryan Griffen,Greater Western Sydney,0
2017,1,Heath Shaw,Greater Western Sydney,0
2017,1,Shane Mumford,Greater Western Sydney,0
2017,1,Callan Ward,Greater Western Sydney,0
2017,1,Tom Scully,Greater Western Sydney,0
2017,1,Phil Davis,Greater Western Sydney,0
2017,1,Tendai Mzungu,Greater Western Sydney,0
2017,1,Jeremy Cameron,Greater Western Sydney,0
2017,1,Toby Greene,Greater Western Sydney,0
2017,1,Adam Kennedy,Greater Western Sydney,0
2017,1,Dylan Shiel,Greater Western Sydney,0
2017,1,Devon Smith,Greater Western Sydney,0
2017,1,Adam Tomlinson,Greater Western Sydney,0
2017,1,Matt Buntine,Greater Western Sydney,0
2017,1,Nick Haynes,Greater Western Sydney,0
2017,1,Jonathon Patton,Greater Western Sydney,0
2017,1,Zac Williams,Greater Western Sydney,0
2017,1,Josh Kelly,Greater Western Sydney,0
2017,1,Rory Lobb,Greater Western Sydney,0
2017,1,Matthew Kennedy,Greater Western Sydney,0
2017,1,Tim Taranto,Greater Western Sydney,0
2017,1,Tom Mitchell,Hawthorn,5
2017,1,Shaun Burgoyne,Hawthorn,0
2017,1,Jarryd Roughead,Hawthorn,0
2017,1,Josh Gibson,Hawthorn,0
2017,1,Grant Birchall,Hawthorn,0
2017,1,James Frawley,Hawthorn,0
2017,1,Cyril Rioli,Hawthorn,0
2017,1,Ben McEvoy,Hawthorn,0
2017,1,Ryan Schoenmakers,Hawthorn,0
2017,1,Liam Shiels,Hawthorn,0
2017,1,Ty Vickery,Hawthorn,0
2017,1,Ben Stratton,Hawthorn,0
2017,1,Ricky Henderson,Hawthorn,0
2017,1,Jack Gunston,Hawthorn,0
2017,1,Paul Puopolo,Hawthorn,0
2017,1,Isaac Smith,Hawthorn,0
2017,1,Luke Breust,Hawthorn,0
2017,1,Jaeger O'Meara,Hawthorn,0
2017,1,Taylor Duryea,Hawthorn,0
2017,1,Will Langford,Hawthorn,0
2017,1,Billy Hartung,Hawthorn,0
2017,1,James Sicily,Hawthorn,0
2017,1,Clayton Oliver,Melbourne,9
2017,1,Max Gawn,Melbourne,5
2017,1,Bernie Vince,Melbourne,5
2017,1,Jordan Lewis,Melbourne,4
2017,1,Nathan Jones,Melbourne,3
2017,1,Jesse Hogan,Melbourne,2
2017,1,Jeff Garlett,Melbourne,0
2017,1,Neville Jetta,Melbourne,0
2017,1,Jack Watts,Melbourne,0
2017,1,Jake Melksham,Melbourne,0
2017,1,Tom McDonald,Melbourne,0
2017,1,Jack Viney,Melbourne,0
2017,1,Christian Salem,Melbourne,0
2017,1,Angus Brayshaw,Melbourne,0
2017,1,Billy Stretch,Melbourne,0
2017,1,Alex Neal-Bullen,Melbourne,0
2017,1,Oscar McDonald,Melbourne,0
2017,1,Jayden Hunt,Melbourne,0
2017,1,Christian Petracca,Melbourne,0
2017,1,Sam Weideman,Melbourne,0
2017,1,Mitch Hannan,Melbourne,0
2017,1,Joel Smith,Melbourne,0
2017,1,Shaun Higgins,North Melbourne,3
2017,1,Jack Ziebell,North Melbourne,2
2017,1,Todd Goldstein,North Melbourne,1
2017,1,Jarrad Waite,North Melbourne,0
2017,1,Andrew Swallow,North Melbourne,0
2017,1,Lachlan Hansen,North Melbourne,0
2017,1,Lindsay Thomas,North Melbourne,0
2017,1,Scott Thompson,North Melbourne,0
2017,1,Robbie Tarrant,North Melbourne,0
2017,1,Jamie Macmillan,North Melbourne,0
2017,1,Shaun Atley,North Melbourne,0
2017,1,Marley Williams,North Melbourne,0
2017,1,Sam Gibson,North Melbourne,0
2017,1,Nathan Hrovat,North Melbourne,0
2017,1,Luke McDonald,North Melbourne,0
2017,1,Ben Brown,North Melbourne,0
2017,1,Kayne Turner,North Melbourne,0
2017,1,Trent Dumont,North Melbourne,0
2017,1,Mitchell Hibberd,North Melbourne,0
2017,1,Declan Mountford,North Melbourne,0
2017,1,Braydon Preuss,North Melbourne,0
2017,1,Jy Simpkin,North Melbourne,0
2017,1,Ollie Wines,Port Adelaide,10
2017,1,Brad Ebert,Port Adelaide,4
2017,1,Sam Powell-Pepper,Port Adelaide,4
2017,1,Paddy Ryder,Port Adelaide,4
2017,1,Aaron Young,Port Adelaide,2
2017,1,Chad Wingard,Port Adelaide,2
2017,1,Robbie Gray,Port Adelaide,0
2017,1,Justin Westhoff,Port Adelaide,0
2017,1,Travis Boak,Port Adelaide,0
2017,1,Hamish Hartlett,Port Adelaide,0
2017,1,Matthew Broadbent,Port Adelaide,0
2017,1,Jackson Trengove,Port Adelaide,0
2017,1,Charlie Dixon,Port Adelaide,0
2017,1,Jared Polec,Port Adelaide,0
2017,1,Tom Jonas,Port Adelaide,0
2017,1,Jack Hombsch,Port Adelaide,0
2017,1,Tom Clurey,Port Adelaide,0
2017,1,Sam Gray,Port Adelaide,0
2017,1,Karl Amon,Port Adelaide,0
2017,1,Darcy Byrne-Jones,Port Adelaide,0
2017,1,Brett Eddy,Port Adelaide,0
2017,1,Dan Houston,Port Adelaide,0
2017,1,Dustin Martin,Richmond,10
2017,1,Dion Prestia,Richmond,8
2017,1,Jason Castagna,Richmond,4
2017,1,Dan Butler,Richmond,1
2017,1,Trent Cotchin,Richmond,1
2017,1,Shane Edwards,Richmond,0
2017,1,Bachar Houli,Richmond,0
2017,1,Jack Riewoldt,Richmond,0
2017,1,Shaun Grigg,Richmond,0
2017,1,Alex Rance,Richmond,0
2017,1,David Astbury,Richmond,0
2017,1,Ben Griffiths,Richmond,0
2017,1,Taylor Hunt,Richmond,0
2017,1,Dylan Grimes,Richmond,0
2017,1,Reece Conca,Richmond,0
2017,1,Josh Caddy,Richmond,0
2017,1,Brandon Ellis,Richmond,0
2017,1,Nick Vlastuin,Richmond,0
2017,1,Sam Lloyd,Richmond,0
2017,1,Kamdyn McIntosh,Richmond,0
2017,1,Toby Nankervis,Richmond,0
2017,1,Daniel Rioli,Richmond,0
2017,1,Nick Riewoldt,St Kilda,2
2017,1,Sam Gilbert,St Kilda,0
2017,1,David Armitage,St Kilda,0
2017,1,Nathan Brown,St Kilda,0
2017,1,Jarryn Geary,St Kilda,0
2017,1,Jack Steven,St Kilda,0
2017,1,Shane Savage,St Kilda,0
2017,1,Dylan Roberton,St Kilda,0
2017,1,Jake Carlisle,St Kilda,0
2017,1,Maverick Weller,St Kilda,0
2017,1,Tom Hickey,St Kilda,0
2017,1,Jack Newnes,St Kilda,0
2017,1,Josh Bruce,St Kilda,0
2017,1,Sebastian Ross,St Kilda,0
2017,1,Nathan Wright,St Kilda,0
2017,1,Jimmy Webster,St Kilda,0
2017,1,Jack Billings,St Kilda,0
2017,1,Luke Dunstan,St Kilda,0
2017,1,Tim Membrey,St Kilda,0
2017,1,Jack Lonie,St Kilda,0
2017,1,Jack Steele,St Kilda,0
2017,1,Jade Gresham,St Kilda,0
2017,1,Lance Franklin,Sydney,4
2017,1,Heath Grundy,Sydney,0
2017,1,Kieren Jack,Sydney,0
2017,1,Kurt Tippett,Sydney,0
2017,1,Nick Smith,Sydney,0
2017,1,Josh P. Kennedy,Sydney,0
2017,1,Jeremy Laidler,Sydney,0
2017,1,Dan Hannebery,Sydney,0
2017,1,Sam Reid,Sydney,0
2017,1,Luke Parker,Sydney,0
2017,1,Harry Cunningham,Sydney,0
2017,1,Dane Rampe,Sydney,0
2017,1,Jake Lloyd,Sydney,0
2017,1,Zak Jones,Sydney,0
2017,1,Dean Towers,Sydney,0
2017,1,Sam Naismith,Sydney,0
2017,1,Dan Robinson,Sydney,0
2017,1,George Hewett,Sydney,0
2017,1,Callum Mills,Sydney,0
2017,1,Harrison Marsh,Sydney,0
2017,1,Jordan Foote,Sydney,0
2017,1,Oliver Florent,Sydney,0
2017,1,Josh J. Kennedy,West Coast,10
2017,1,Elliot Yeo,West Coast,8
2017,1,Mark LeCras,West Coast,4
2017,1,Sam Mitchell,West Coast,2
2017,1,Drew Petrie,West Coast,0
2017,1,Shannon Hurn,West Coast,0
2017,1,Matt Priddis,West Coast,0
2017,1,Eric Mackenzie,West Coast,0
2017,1,Josh Hill,West Coast,0
2017,1,Chris Masten,West Coast,0
2017,1,Sharrod Wellingham,West Coast,0
2017,1,Jack Redden,West Coast,0
2017,1,Lewis Jetta,West Coast,0
2017,1,Luke Shuey,West Coast,0
2017,1,Brad Sheppard,West Coast,0
2017,1,Jack Darling,West Coast,0
2017,1,Andrew Gaff,West Coast,0
2017,1,Jamie Cripps,West Coast,0
2017,1,Nathan Vardy,West Coast,0
2017,1,Mark Hutchings,West Coast,0
2017,1,Jeremy McGovern,West Coast,0
2017,1,Jackson Nelson,West Coast,0
2017,1,Jason Johannisen,Western Bulldogs,8
2017,1,Fletcher Roberts,Western Bulldogs,4
2017,1,Lachie Hunter,Western Bulldogs,3
2017,1,Robert Murphy,Western Bulldogs,2
2017,1,Marcus Bontempelli,Western Bulldogs,1
2017,1,Matthew Boyd,Western Bulldogs,0
2017,1,Dale Morris,Western Bulldogs,0
2017,1,Travis Cloke,Western Bulldogs,0
2017,1,Matthew Suckling,Western Bulldogs,0
2017,1,Liam Picken,Western Bulldogs,0
2017,1,Easton Wood,Western Bulldogs,0
2017,1,Stewart Crameri,Western Bulldogs,0
2017,1,Tom Liberatore,Western Bulldogs,0
2017,1,Luke Dahlhaus,Western Bulldogs,0
2017,1,Lin Jong,Western Bulldogs,0
2017,1,Jack Macrae,Western Bulldogs,0
2017,1,Jake Stringer,Western Bulldogs,0
2017,1,Shane Biggs,Western Bulldogs,0
2017,1,Tom Boyd,Western Bulldogs,0
2017,1,Toby McLean,Western Bulldogs,0
2017,1,Caleb Daniel,Western Bulldogs,0
2017,1,Zaine Cordy,Western Bulldogs,0
2017,2,Sam Jacobs,Adelaide,10
2017,2,Rory Sloane,Adelaide,6
2017,2,Tom Lynch,Adelaide,4
2017,2,Taylor Walker,Adelaide,2
2017,2,Eddie Betts,Adelaide,0
2017,2,Richard Douglas,Adelaide,0
2017,2,David Mackay,Adelaide,0
2017,2,Andy Otten,Adelaide,0
2017,2,Brodie Smith,Adelaide,0
2017,2,Daniel Talia,Adelaide,0
2017,2,Curtly Hampton,Adelaide,0
2017,2,Josh Jenkins,Adelaide,0
2017,2,Luke Brown,Adelaide,0
2017,2,Rory Laird,Adelaide,0
2017,2,Kyle Hartigan,Adelaide,0
2017,2,Matt Crouch,Adelaide,0
2017,2,Charlie Cameron,Adelaide,0
2017,2,Jake Kelly,Adelaide,0
2017,2,Riley Knight,Adelaide,0
2017,2,Rory Atkins,Adelaide,0
2017,2,Mitch McGovern,Adelaide,0
2017,2,Wayne Milera,Adelaide,0
2017,2,Stefan Martin,Brisbane Lions,7
2017,2,Dayne Beams,Brisbane Lions,3
2017,2,Mitch Robinson,Brisbane Lions,0
2017,2,Daniel Rich,Brisbane Lions,0
2017,2,Tom Rockliff,Brisbane Lions,0
2017,2,Ryan Bastinac,Brisbane Lions,0
2017,2,Ryan Harwood,Brisbane Lions,0
2017,2,Rohan Bewick,Brisbane Lions,0
2017,2,Ryan Lester,Brisbane Lions,0
2017,2,Dayne Zorko,Brisbane Lions,0
2017,2,Tom Bell,Brisbane Lions,0
2017,2,Jack Frost,Brisbane Lions,0
2017,2,Sam Mayes,Brisbane Lions,0
2017,2,Michael Close,Brisbane Lions,0
2017,2,Lewis Taylor,Brisbane Lions,0
2017,2,Tom Cutler,Brisbane Lions,0
2017,2,Nick Robertson,Brisbane Lions,0
2017,2,Darcy Gardiner,Brisbane Lions,0
2017,2,Daniel McStay,Brisbane Lions,0
2017,2,Harris Andrews,Brisbane Lions,0
2017,2,Jake Barrett,Brisbane Lions,0
2017,2,Eric Hipwood,Brisbane Lions,0
2017,2,Matthew Wright,Carlton,3
2017,2,Marc Murphy,Carlton,3
2017,2,Patrick Cripps,Carlton,3
2017,2,Kade Simpson,Carlton,0
2017,2,Dale Thomas,Carlton,0
2017,2,Bryce Gibbs,Carlton,0
2017,2,Matthew Kreuzer,Carlton,0
2017,2,Dennis Armfield,Carlton,0
2017,2,Simon White,Carlton,0
2017,2,Ed Curnow,Carlton,0
2017,2,Billie Smedts,Carlton,0
2017,2,Levi Casboult,Carlton,0
2017,2,Lachie Plowman,Carlton,0
2017,2,Sam Rowe,Carlton,0
2017,2,Sam Docherty,Carlton,0
2017,2,Caleb Marchbank,Carlton,0
2017,2,Jacob Weitering,Carlton,0
2017,2,Charlie Curnow,Carlton,0
2017,2,Jack Silvagni,Carlton,0
2017,2,Harrison Macreadie,Carlton,0
2017,2,Sam Petrevski-Seton,Carlton,0
2017,2,Jarrod Pickett,Carlton,0
2017,2,Brodie Grundy,Collingwood,7
2017,2,Adam Treloar,Collingwood,4
2017,2,Will Hoskin-Elliott,Collingwood,2
2017,2,Tyson Goldsack,Collingwood,1
2017,2,Scott Pendlebury,Collingwood,0
2017,2,Ben Reid,Collingwood,0
2017,2,Chris Mayne,Collingwood,0
2017,2,Jesse White,Collingwood,0
2017,2,Steele Sidebottom,Collingwood,0
2017,2,Jarryd Blair,Collingwood,0
2017,2,Jeremy Howe,Collingwood,0
2017,2,Alex Fasolo,Collingwood,0
2017,2,Jack Crisp,Collingwood,0
2017,2,Taylor Adams,Collingwood,0
2017,2,James Aish,Collingwood,0
2017,2,Tim Broomhead,Collingwood,0
2017,2,Jackson Ramsay,Collingwood,0
2017,2,Henry Schade,Collingwood,0
2017,2,Brayden Maynard,Collingwood,0
2017,2,Darcy Moore,Collingwood,0
2017,2,Josh Smith,Collingwood,0
2017,2,Tom Phillips,Collingwood,0
2017,2,Zach Merrett,Essendon,9
2017,2,Orazio Fantasia,Essendon,7
2017,2,Jobe Watson,Essendon,4
2017,2,James Kelly,Essendon,0
2017,2,Brendon Goddard,Essendon,0
2017,2,Brent Stanton,Essendon,0
2017,2,Cale Hooker,Essendon,0
2017,2,Michael Hurley,Essendon,0
2017,2,David Zaharakis,Essendon,0
2017,2,Shaun McKernan,Essendon,0
2017,2,Ben Howlett,Essendon,0
2017,2,Travis Colyer,Essendon,0
2017,2,Dyson Heppell,Essendon,0
2017,2,Mark Baguley,Essendon,0
2017,2,Joe Daniher,Essendon,0
2017,2,Patrick Ambrose,Essendon,0
2017,2,Martin Gleeson,Essendon,0
2017,2,Kyle Langford,Essendon,0
2017,2,Anthony McDonald-Tipungwuti,Essendon,0
2017,2,Darcy Parish,Essendon,0
2017,2,Michael Hartley,Essendon,0
2017,2,Andrew McGrath,Essendon,0
2017,2,Aaron Sandilands,Fremantle,0
2017,2,Michael Johnson,Fremantle,0
2017,2,David Mundy,Fremantle,0
2017,2,Danyle Pearce,Fremantle,0
2017,2,Zac Dawson,Fremantle,0
2017,2,Jonathon Griffin,Fremantle,0
2017,2,Garrick Ibbotson,Fremantle,0
2017,2,Stephen Hill,Fremantle,0
2017,2,Nick Suban,Fremantle,0
2017,2,Michael Walters,Fremantle,0
2017,2,Nat Fyfe,Fremantle,0
2017,2,Lachie Neale,Fremantle,0
2017,2,Bradley Hill,Fremantle,0
2017,2,Lee Spurr,Fremantle,0
2017,2,Cam Sutcliffe,Fremantle,0
2017,2,Shane Kersten,Fremantle,0
2017,2,Cam McCarthy,Fremantle,0
2017,2,Joel Hamling,Fremantle,0
2017,2,Lachie Weller,Fremantle,0
2017,2,Ed Langdon,Fremantle,0
2017,2,Connor Blakely,Fremantle,0
2017,2,Darcy Tucker,Fremantle,0
2017,2,Joel Selwood,Geelong,7
2017,2,Patrick Dangerfield,Geelong,7
2017,2,Daniel Menzel,Geelong,3
2017,2,Andrew Mackie,Geelong,0
2017,2,Tom Lonergan,Geelong,0
2017,2,Tom Hawkins,Geelong,0
2017,2,Lachie Henderson,Geelong,0
2017,2,Harry Taylor,Geelong,0
2017,2,Mitch Duncan,Geelong,0
2017,2,Steven Motlop,Geelong,0
2017,2,Rhys Stanley,Geelong,0
2017,2,Josh Cowan,Geelong,0
2017,2,Zach Tuohy,Geelong,0
2017,2,George Horlin-Smith,Geelong,0
2017,2,Lincoln McCarthy,Geelong,0
2017,2,Jordan Murdoch,Geelong,0
2017,2,Mark Blicavs,Geelong,0
2017,2,Jackson Thurlow,Geelong,0
2017,2,Darcy Lang,Geelong,0
2017,2,Tom Ruggles,Geelong,0
2017,2,Brandan Parfitt,Geelong,0
2017,2,Tom Stewart,Geelong,0
2017,2,Gary Ablett,Gold Coast,0
2017,2,Matt Rosa,Gold Coast,0
2017,2,Michael Barlow,Gold Coast,0
2017,2,David Swallow,Gold Coast,0
2017,2,Steven May,Gold Coast,0
2017,2,Tom J. Lynch,Gold Coast,0
2017,2,Rory Thompson,Gold Coast,0
2017,2,Aaron Hall,Gold Coast,0
2017,2,Jarryd Lyons,Gold Coast,0
2017,2,Alex Sexton,Gold Coast,0
2017,2,Jarrod Witts,Gold Coast,0
2017,2,Sean Lemmens,Gold Coast,0
2017,2,Jack Martin,Gold Coast,0
2017,2,Kade Kolodjashnij,Gold Coast,0
2017,2,Jack Leslie,Gold Coast,0
2017,2,Touk Miller,Gold Coast,0
2017,2,Adam Saad,Gold Coast,0
2017,2,Peter Wright,Gold Coast,0
2017,2,Callum Ah Chee,Gold Coast,0
2017,2,Jesse Joyce,Gold Coast,0
2017,2,Ben Ainsworth,Gold Coast,0
2017,2,Jack Bowes,Gold Coast,0
2017,2,Dylan Shiel,Greater Western Sydney,7
2017,2,Toby Greene,Greater Western Sydney,7
2017,2,Josh Kelly,Greater Western Sydney,5
2017,2,Phil Davis,Greater Western Sydney,4
2017,2,Jeremy Cameron,Greater Western Sydney,4
2017,2,Callan Ward,Greater Western Sydney,3
2017,2,Steve Johnson,Greater Western Sydney,0
2017,2,Ryan Griffen,Greater Western Sydney,0
2017,2,Heath Shaw,Greater Western Sydney,0
2017,2,Shane Mumford,Greater Western Sydney,0
2017,2,Sam J. Reid,Greater Western Sydney,0
2017,2,Tom Scully,Greater Western Sydney,0
2017,2,Adam Kennedy,Greater Western Sydney,0
2017,2,Devon Smith,Greater Western Sydney,0
2017,2,Adam Tomlinson,Greater Western Sydney,0
2017,2,Nathan Wilson,Greater Western Sydney,0
2017,2,Matt Buntine,Greater Western Sydney,0
2017,2,Nick Haynes,Greater Western Sydney,0
2017,2,Zac Williams,Greater Western Sydney,0
2017,2,Rory Lobb,Greater Western Sydney,0
2017,2,Jacob Hopper,Greater Western Sydney,0
2017,2,Tim Taranto,Greater Western Sydney,0
2017,2,Jaeger O'Meara,Hawthorn,4
2017,2,Tom Mitchell,Hawthorn,3
2017,2,Luke Breust,Hawthorn,1
2017,2,Shaun Burgoyne,Hawthorn,0
2017,2,Luke Hodge,Hawthorn,0
2017,2,Jarryd Roughead,Hawthorn,0
2017,2,Josh Gibson,Hawthorn,0
2017,2,Grant Birchall,Hawthorn,0
2017,2,James Frawley,Hawthorn,0
2017,2,Cyril Rioli,Hawthorn,0
2017,2,Ben McEvoy,Hawthorn,0
2017,2,Liam Shiels,Hawthorn,0
2017,2,Ty Vickery,Hawthorn,0
2017,2,Ben Stratton,Hawthorn,0
2017,2,Ricky Henderson,Hawthorn,0
2017,2,Jack Gunston,Hawthorn,0
2017,2,Paul Puopolo,Hawthorn,0
2017,2,Isaac Smith,Hawthorn,0
2017,2,Will Langford,Hawthorn,0
2017,2,Kade Stewart,Hawthorn,0
2017,2,Ryan Burton,Hawthorn,0
2017,2,Teia Miles,Hawthorn,0
2017,2,Christian Salem,Melbourne,10
2017,2,Clayton Oliver,Melbourne,8
2017,2,Neville Jetta,Melbourne,2
2017,2,Nathan Jones,Melbourne,1
2017,2,Jordan Lewis,Melbourne,0
2017,2,Jeff Garlett,Melbourne,0
2017,2,Jack Watts,Melbourne,0
2017,2,Jake Melksham,Melbourne,0
2017,2,Max Gawn,Melbourne,0
2017,2,Tom McDonald,Melbourne,0
2017,2,Dom Tyson,Melbourne,0
2017,2,Jack Viney,Melbourne,0
2017,2,Angus Brayshaw,Melbourne,0
2017,2,Jesse Hogan,Melbourne,0
2017,2,Billy Stretch,Melbourne,0
2017,2,Alex Neal-Bullen,Melbourne,0
2017,2,James Harmes,Melbourne,0
2017,2,Oscar McDonald,Melbourne,0
